questionId,questionTitle,questionDescription,"Output: [Kiwi, Grape, Mango, Berry]",outputFomat,difficulty,tags,gitUrl,language
1,If-else statement,"Given an ArrayList of N lowercase characters. The task is to count frequency of elements in the list.
Note: use add() to append element in the list and contains() to check an element is present or not in the list and collections.frequency() to find the frequency of the element in the list.
Your task is to complete the functions insert() and freq() which are used to insert and find frequency of element respectively.","First line of testcase contains T, number of testcases. For each testcase, first line contains number of queries Q. Each query may be any one of the two type:
1. ""i"" with ""c"" : insert the element ""c"" into the ArrayList
2. ""f"" with ""c"": find the frequency of ""c"" in the ArrayList.


Constraints:
1 <= T <= 100
1 <= N <= 105
1 <= Q <= 102
Example:
Input:
2
6
i g i e i e i k i s f e
4
i c i p i p f f","Output Format:
For each testcase, output the frequency of elements. Print ""Not Present"" if element is not present in the list else its frequency in new line for every query.
22
Not Present
Explanation:
Testcase 1: Inserting g, e, e, k, s into the list. Frequency of e is 2 in the list.
Testcase 2: Inserting c, p, p into the list. Frequency of f is 0 in the list.
",medium,If-else statement,https://github.com/aroranamita09/Questions.git,Java
2,While,Write a Java method to Reverse the given input & Check if it is a Palindrome.,12321,yes,easy,While,https://github.com/aroranamita09/Questions.git,Java
3,Switch Statement,Write a Java method to check if a given number is power of 4,64,yes,easy,Switch Statement,https://github.com/aroranamita09/Questions.git,Java
4,Loops,"Create a class named Member with Name, age, Salary as its variable, write an other class named Member Variable that creates an instance of the Member class, initialises its member variables, and then displays the value of each member variable. ","Member with Name, age, Salary as its variable", Members Name: Harry Potter  Members Age: 30  Members Salary: 2500.3,easy,Loops,https://github.com/aroranamita09/Questions.git,Java
5,Do While,"Write a boolean method called isEven() in a class called EvenNumTest, which takes an int as input and returns true if the input is even. The signature of the method is as follows: public static boolean isEven(int number)",Int 3,FALSE,easy,Do While,https://github.com/aroranamita09/Questions.git,Java
6,While,"Write a program, which reads number of students and n grades as input (of int between 0 and 100, inclusive) and displays the average, minimum and maximum.Your program shall check for valid input. You should keep all the grades in an int[] and use a method for each of the computations",45 68 23,"Average:45.33
Minimum:23
Maximum:68",easy,While,https://github.com/aroranamita09/Questions.git,Java
7,Sort Algorithms,"Write a program to list all the factorials, that can be expressed as an int (i.e., 32-bit signed integer). ",Your output shall look like: Int Factorials:      The factorial of 1 is 1      The factorial of 2 is 2           ..........      The factorial of 12 is 479001600      he factorial of 13 is out of range Modify your program and add a method called longFactorial to list all the factorial that can be expressed as a long (64-bit signed integer).The maximum value for long is kept in a constant called Long.MAX_VALUE. ,your output shall look like: Long Factorials:         The factorial of 1 is is 1.         The factorial of 2 is is 2.                 ..........         The factorial of 20 is is 2432902008176640000.         The factorial of 21 is out of range.,easy,Sort Algorithms,https://github.com/aroranamita09/Questions.git,Java
8,If-else Statemnt,Write a program which accepts an integer number as input from the user and perform the following conditional checks:,"a. if number is odd and exists between 20 to 30 
b.  if number is even and exists between 20 and 30", a. Print Tom    b. Print Jerry,easy,If-else statement,https://github.com/aroranamita09/Questions.git,Java
9,Graph,"Create a program that accepts a word as input and checks for each single character letter in the word whether it is a consonant or vowel.
Condition:         
    a. Print an error message if the input is not a letter         
    b. If the input having more than one letter, print the required output
          (Vowel or Consonant) for each letter
 


","a.Input : p
b. Input : ap","a.Output : Consonant
 b.Output : Vowel Consonant (should it be a - vowel, p – consonant)",easy,Graph,https://github.com/aroranamita09/Questions.git,Java
10,Graph,Write a program using a loop to print the following ,"a.6
b.5","a.output. 1 2 2 3 3 3 4 4 4 4 5 5 5 5 5 6 6 6 6 6 6 . . . nth iteration.  
b.  Output : 1 2 2 3 3 3 4 4 4 4 5 5 5 5 5",medium,Graph,https://github.com/aroranamita09/Questions.git,Java
