node_id,name,parent_node_id,node_type,parent_relation,context,identifier,description
JAVA:1,Abstract Class,JAVA:119,concept,subconcept of,Java software programming,Easy,Abstract Class: Java software programming: Web programming
JAVA:2,Abstract Class,JAVA:579,concept,subconcept of,Java software programming,Easy,Abstract Class: Java software programming: Web programming
JAVA:3,Abstract Factory,JAVA:212,concept,subconcept of,Java software programming,Easy,Abstract Factory: Java software programming: Web programming
JAVA:4,Abstraction,JAVA:610,concept,subconcept of,Java software programming,Easy,Abstraction: Java software programming: Web programming
JAVA:5,Activity Diagram,JAVA:78,concept,subconcept of,Java software programming,Easy,Activity Diagram: Java software programming: Web programming
JAVA:6,Acyclic Dependency,JAVA:634,concept,subconcept of,Java software programming,Easy,Acyclic Dependency: Java software programming: Web programming
JAVA:7,Acyclic Graph,JAVA:320,concept,subconcept of,Java software programming,Easy,Acyclic Graph: Java software programming: Web programming
JAVA:8,Afferent Coupling,JAVA:202,concept,subconcept of,Java software programming,Easy,Afferent Coupling: Java software programming: Web programming
JAVA:10,Aggregation,JAVA:722,concept,subconcept of,Java software programming,Easy,Aggregation: Java software programming: Web programming
JAVA:11,Agile Development,JAVA:775,concept,subconcept of,Java software programming,Easy,Agile Development: Java software programming: Web programming
JAVA:12,Ajax,JAVA:452,concept,subconcept of,Java software programming,Easy,Ajax: Java software programming: Web programming
JAVA:13,Algorithm Complexity,JAVA:832,concept,related,Java software programming,Easy,Algorithm Complexity: Java software programming: Web programming
JAVA:14,Amazon AWS,JAVA:372,concept,subconcept of,Java software programming,Easy,Amazon AWS: Java software programming: Web programming
JAVA:15,Angular JS,JAVA:452,concept,subconcept of,Java software programming,Easy,Angular JS: Java software programming: Web programming
JAVA:17,Anonymous Inner Class,JAVA:119,concept,subconcept of,Java software programming,Easy,Anonymous Inner Class: Java software programming: Web programming
JAVA:18,Ant,JAVA:99,concept,subconcept of,Java software programming,Easy,Ant: Java software programming: Web programming
JAVA:19,Ant Tasks,JAVA:18,concept,related,Java software programming,Easy,Ant Tasks: Java software programming: Web programming
JAVA:21,AOP,JAVA:836,concept,related,Java software programming,Easy,AOP: Java software programming: Web programming
JAVA:22,Apache Commons Collections,JAVA:523,concept,subconcept of,Java software programming,Easy,Apache Commons Collections: Java software programming: Web programming
JAVA:27,Append,JAVA:618,concept,subconcept of,Java software programming,Easy,Append: Java software programming: Web programming
JAVA:28,appengine archetype,JAVA:52,concept,subconcept of,Java software programming,Easy,appengine archetype: Java software programming: Web programming
JAVA:50,Appletviewer,JAVA:431,concept,related,Java software programming,Easy,Appletviewer: Java software programming: Web programming
JAVA:51,Appletviewer,JAVA:75,concept,subconcept of,Java software programming,Easy,Appletviewer: Java software programming: Web programming
JAVA:53,Architecture Patterns,JAVA:993,concept,subconcept of,Java software programming,Easy,Architecture Patterns: Java software programming: Web programming
JAVA:54,Array,JAVA:624,concept,subconcept of,Java software programming,Easy,Array: Java software programming: Web programming
JAVA:55,Array List,JAVA:532,concept,subconcept of,Java software programming,Easy,Array List: Java software programming: Web programming
JAVA:56,Aspect Oriented Programming,JAVA:682,concept,subconcept of,Java software programming,Medium,Aspect Oriented Programming: Java software programming: Web programming
JAVA:57,Assert,JAVA:504,concept,subconcept of,Java software programming,Medium,Assert: Java software programming: Web programming
JAVA:58,Association,JAVA:722,concept,subconcept of,Java software programming,Medium,Association: Java software programming: Web programming
JAVA:61,Atomic Integer,JAVA:63,concept,subconcept of,Java software programming,Medium,Atomic Integer: Java software programming: Web programming
JAVA:62,Atomic Long,JAVA:63,concept,subconcept of,Java software programming,Medium,Atomic Long: Java software programming: Web programming
JAVA:63,Atomic Types,JAVA:565,concept,related,Java software programming,Medium,Atomic Types: Java software programming: Web programming
JAVA:64,Attribute,JAVA:982,concept,subconcept of,Java software programming,Medium,Attribute: Java software programming: Web programming
JAVA:66,Authentication,JAVA:957,concept,subconcept of,Java software programming,Medium,Authentication: Java software programming: Web programming
JAVA:68,Authorization,JAVA:957,concept,subconcept of,Java software programming,Medium,Authorization: Java software programming: Web programming
JAVA:69,Autoboxing,JAVA:642,concept,related,Java software programming,Medium,Autoboxing: Java software programming: Web programming
JAVA:72,B-Tree,JAVA:83,concept,subconcept of,Java software programming,Medium,B-Tree: Java software programming: Web programming
JAVA:73,B+ Tree,JAVA:83,concept,subconcept of,Java software programming,Medium,B+ Tree: Java software programming: Web programming
JAVA:74,Bag,JAVA:937,concept,subconcept of,Java software programming,Medium,Bag: Java software programming: Web programming
JAVA:75,Basic JDK Tools,JAVA:467,concept,subconcept of,Java software programming,Medium,Basic JDK Tools: Java software programming: Web programming
JAVA:77,Bean Managed Persistence,JAVA:246,concept,related,Java software programming,Medium,Bean Managed Persistence: Java software programming: Web programming
JAVA:78,Behavior Diagram,JAVA:932,concept,subconcept of,Java software programming,Medium,Behavior Diagram: Java software programming: Web programming
JAVA:79,Best Practices,JAVA:828,concept,subconcept of,Java software programming,Medium,Best Practices: Java software programming: Web programming
JAVA:81,Big-O Notation,JAVA:832,concept,related,Java software programming,Medium,Big-O Notation: Java software programming: Web programming
JAVA:83,Binary Search,JAVA:831,concept,related,Java software programming,Medium,Binary Search: Java software programming: Web programming
JAVA:84,Binary Search,JAVA:777,concept,subconcept of,Java software programming,Medium,Binary Search: Java software programming: Web programming
JAVA:85,Binary Search Tree,JAVA:83,concept,subconcept of,Java software programming,Medium,Binary Search Tree: Java software programming: Web programming
JAVA:86,Binding Compiler,JAVA:981,concept,related,Java software programming,Medium,Binding Compiler: Java software programming: Web programming
JAVA:87,Bit Array,JAVA:808,concept,subconcept of,Java software programming,Medium,Bit Array: Java software programming: Web programming
JAVA:88,Black Box Testing,JAVA:930,concept,subconcept of,Java software programming,Medium,Black Box Testing: Java software programming: Web programming
JAVA:89,Blackbox Testing,JAVA:900,concept,subconcept of,Java software programming,Medium,Blackbox Testing: Java software programming: Web programming
JAVA:90,Blocked,JAVA:907,concept,subconcept of,Java software programming,Medium,Blocked: Java software programming: Web programming
JAVA:91,Bloom Filter,JAVA:808,concept,subconcept of,Java software programming,Medium,Bloom Filter: Java software programming: Web programming
JAVA:93,Bubble Sort,JAVA:832,concept,subconcept of,Java software programming,Medium,Bubble Sort: Java software programming: Web programming
JAVA:94,Bug Tracking,JAVA:902,concept,subconcept of,Java software programming,Medium,Bug Tracking: Java software programming: Web programming
JAVA:95,Bug Tracking,JAVA:900,concept,related,Java software programming,Medium,Bug Tracking: Java software programming: Web programming
JAVA:96,Bugfix,JAVA:826,concept,subconcept of,Java software programming,Medium,Bugfix: Java software programming: Web programming
JAVA:97,Bugzilla,JAVA:94,concept,subconcept of,Java software programming,Medium,Bugzilla: Java software programming: Web programming
JAVA:98,Build,JAVA:557,concept,subconcept of,Java software programming,Medium,Build: Java software programming: Web programming
JAVA:99,Build and Deployment,JAVA:827,concept,subconcept of,Java software programming,Medium,Build and Deployment: Java software programming: Web programming
JAVA:100,Build File,JAVA:18,concept,related,Java software programming,Medium,Build File: Java software programming: Web programming
JAVA:102,Build Phases,JAVA:557,concept,subconcept of,Java software programming,Medium,Build Phases: Java software programming: Web programming
JAVA:104,Build Profiles,JAVA:557,concept,subconcept of,Java software programming,Medium,Build Profiles: Java software programming: Web programming
JAVA:106,Build Tools,JAVA:99,concept,subconcept of,Java software programming,Medium,Build Tools: Java software programming: Web programming
JAVA:107,Builder,JAVA:212,concept,subconcept of,Java software programming,Medium,Builder: Java software programming: Web programming
JAVA:109,Bytecode,JAVA:147,concept,subconcept of,Java software programming,Medium,Bytecode: Java software programming: Web programming
JAVA:110,C Header Generator,JAVA:597,concept,related,Java software programming,Medium,C Header Generator: Java software programming: Web programming
JAVA:111,C++,JAVA:903,concept,subconcept of,Java software programming,Medium,C++: Java software programming: Web programming
JAVA:112,C++,JAVA:681,concept,subconcept of,Java software programming,Medium,C++: Java software programming: Web programming
JAVA:113,C++,JAVA:388,concept,subconcept of,Java software programming,Medium,C++: Java software programming: Web programming
JAVA:114,C++ STL,JAVA:523,concept,subconcept of,Java software programming,Medium,C++ STL: Java software programming: Web programming
JAVA:115,C3PO,JAVA:158,concept,subconcept of,Java software programming,Medium,C3PO: Java software programming: Web programming
JAVA:116,Cached Thread Pool,JAVA:910,concept,subconcept of,Java software programming,Medium,Cached Thread Pool: Java software programming: Web programming
JAVA:119,Class,JAVA:433,concept,subconcept of,Java software programming,Medium,Class: Java software programming: Web programming
JAVA:120,Class,JAVA:579,concept,subconcept of,Java software programming,Medium,Class: Java software programming: Web programming
JAVA:121,Class Diagram,JAVA:859,concept,subconcept of,Java software programming,Medium,Class Diagram: Java software programming: Web programming
JAVA:122,Class File,JAVA:147,concept,subconcept of,Java software programming,Medium,Class File: Java software programming: Web programming
JAVA:124,Class Level Lock,JAVA:537,concept,subconcept of,Java software programming,Medium,Class Level Lock: Java software programming: Web programming
JAVA:125,Classpath,JAVA:506,concept,related,Java software programming,Medium,Classpath: Java software programming: Web programming
JAVA:126,Clojure,JAVA:512,concept,subconcept of,Java software programming,Medium,Clojure: Java software programming: Web programming
JAVA:127,Cloud Computing,JAVA:993,concept,subconcept of,Java software programming,Medium,Cloud Computing: Java software programming: Web programming
JAVA:128,Code Comments,JAVA:444,concept,related,Java software programming,Medium,Code Comments: Java software programming: Web programming
JAVA:129,Coding Conventions,JAVA:79,concept,subconcept of,Java software programming,Medium,Coding Conventions: Java software programming: Web programming
JAVA:130,Cohesion,JAVA:211,concept,subconcept of,Java software programming,Medium,Cohesion: Java software programming: Web programming
JAVA:132,Collision,JAVA:329,concept,subconcept of,Java software programming,Medium,Collision: Java software programming: Web programming
JAVA:134,Comments,JAVA:433,concept,subconcept of,Java software programming,Medium,Comments: Java software programming: Web programming
JAVA:136,Common Closure,JAVA:633,concept,subconcept of,Java software programming,Medium,Common Closure: Java software programming: Web programming
JAVA:137,Common Coupling,JAVA:542,concept,subconcept of,Java software programming,Medium,Common Coupling: Java software programming: Web programming
JAVA:138,Common Reuse,JAVA:633,concept,subconcept of,Java software programming,Medium,Common Reuse: Java software programming: Web programming
JAVA:139,Communication Diagram,JAVA:402,concept,subconcept of,Java software programming,Medium,Communication Diagram: Java software programming: Web programming
JAVA:140,Comparable,JAVA:831,concept,subconcept of,Java software programming,Medium,Comparable: Java software programming: Web programming
JAVA:141,Comparator,JAVA:831,concept,subconcept of,Java software programming,Medium,Comparator: Java software programming: Web programming
JAVA:143,Compile,JAVA:102,concept,subconcept of,Java software programming,Medium,Compile: Java software programming: Web programming
JAVA:147,Compiler,JAVA:681,concept,subconcept of,Java software programming,Medium,Compiler: Java software programming: Web programming
JAVA:148,Compiler Plugin,JAVA:560,concept,subconcept of,Java software programming,Medium,Compiler Plugin: Java software programming: Web programming
JAVA:149,Component Diagram,JAVA:859,concept,subconcept of,Java software programming,Medium,Component Diagram: Java software programming: Web programming
